payment_id,customer_id,customer_name,store_id,payment_amount,payment_date,rental_date,return_date,film_id,film_title,rental_duration,rental_rate,category_name
2104,77,"JANE BENNETT",2,0.99,"2005-08-02 01:16:59","2005-08-02 01:16:59","2005-08-03 02:41:59",19,"AMADEUS HOLY",6,0.99,Action
1093,39,"DEBRA NELSON",1,0.99,"2005-08-18 04:26:54","2005-08-18 04:26:54","2005-08-23 06:40:54",19,"AMADEUS HOLY",6,0.99,Action
930,34,"REBECCA SCOTT",2,0.99,"2005-06-20 20:35:28","2005-06-20 20:35:28","2005-06-26 01:01:28",19,"AMADEUS HOLY",6,0.99,Action
6848,254,"MAXINE SILVA",2,3.99,"2005-07-09 05:01:58","2005-07-09 05:01:58","2005-07-18 08:17:58",19,"AMADEUS HOLY",6,0.99,Action
7479,276,"BRANDY GRAVES",1,1.99,"2005-07-30 08:02:39","2005-07-30 08:02:39","2005-08-06 12:02:39",19,"AMADEUS HOLY",6,0.99,Action
715,26,"JESSICA HALL",2,1.99,"2005-08-21 17:51:06","2005-08-21 17:51:06","2005-08-28 15:36:06",19,"AMADEUS HOLY",6,0.99,Action
2410,89,"JULIA FLORES",1,0.99,"2005-05-28 12:08:37","2005-05-28 12:08:37","2005-05-29 16:25:37",19,"AMADEUS HOLY",6,0.99,Action
13039,483,"VERNON CHAPA",2,0.99,"2005-06-20 00:08:38","2005-06-20 00:08:38","2005-06-23 19:35:38",19,"AMADEUS HOLY",6,0.99,Action
991,36,"KATHLEEN ADAMS",2,0.99,"2005-07-11 02:37:51","2005-07-11 02:37:51","2005-07-16 22:34:51",19,"AMADEUS HOLY",6,0.99,Action
13146,487,"HECTOR POINDEXTER",2,0.99,"2005-07-28 07:21:55","2005-07-28 07:21:55","2005-08-03 06:33:55",19,"AMADEUS HOLY",6,0.99,Action
4820,177,"SAMANTHA DUNCAN",2,0.99,"2005-08-21 07:44:32","2005-08-21 07:44:32","2005-08-22 09:02:32",19,"AMADEUS HOLY",6,0.99,Action
13594,504,"NATHANIEL ADAM",1,3.99,"2005-08-01 11:25:28","2005-08-01 11:25:28","2005-08-10 09:19:28",19,"AMADEUS HOLY",6,0.99,Action
3213,119,"SHERRY MARSHALL",1,3.99,"2005-08-21 08:54:53","2005-08-21 08:54:53","2005-08-30 14:27:53",19,"AMADEUS HOLY",6,0.99,Action
89,4,"BARBARA JONES",2,0.99,"2005-06-16 15:51:52","2005-06-16 15:51:52","2005-06-20 13:27:52",19,"AMADEUS HOLY",6,0.99,Action
15909,594,"EDUARDO HIATT",1,0.99,"2005-07-05 22:59:53","2005-07-05 22:59:53","2005-07-08 20:32:53",19,"AMADEUS HOLY",6,0.99,Action
3736,138,"HAZEL WARREN",1,1.99,"2005-07-30 14:37:44","2005-07-30 14:37:44","2005-08-06 18:05:44",19,"AMADEUS HOLY",6,0.99,Action
13806,512,"CECIL VINES",1,0.99,"2006-02-14 15:16:03","2006-02-14 15:16:03",NULL,19,"AMADEUS HOLY",6,0.99,Action
4158,153,"SUZANNE NICHOLS",2,0.99,"2005-06-19 10:20:09","2005-06-19 10:20:09","2005-06-21 10:05:09",19,"AMADEUS HOLY",6,0.99,Action
12067,447,"CLIFFORD BOWENS",1,0.99,"2005-07-12 10:57:28","2005-07-12 10:57:28","2005-07-15 06:06:28",19,"AMADEUS HOLY",6,0.99,Action
